crop,state,season,area_hectares,production_tons,rainfall_mm,fertilizer_kg_ha
Wheat,Gujarat,Whole Year,34.57,125.2,359.1,109.7
Wheat,Gujarat,Kharif,37.43,150.64,726.0,153.6
Wheat,Haryana,Rabi,6.0,29.4,349.3,183.8
Maize,Uttar Pradesh,Whole Year,7.47,25.51,569.4,92.0
Rice,Maharashtra,Kharif,5.72,22.5,1087.0,118.7
Wheat,Uttar Pradesh,Whole Year,21.28,65.61,351.6,106.4
Rice,Karnataka,Whole Year,5.49,16.19,968.5,117.2
Apple,Karnataka,Kharif,5.0,62.37,1239.4,106.7
Wheat,Punjab,Zaid,34.52,127.0,583.9,119.2
Rice,Madhya Pradesh,Zaid,35.37,157.95,892.2,136.7
Chickpea,Punjab,Zaid,44.1,71.52,357.0,58.6
Maize,Goa,Whole Year,16.91,60.07,905.9,97.2
Apple,Madhya Pradesh,Zaid,10.23,115.27,815.8,83.3
Wheat,Karnataka,Kharif,21.39,73.52,276.3,123.2
Potato,Goa,Kharif,16.93,326.0,505.8,147.5
Cotton,Karnataka,Zaid,28.87,68.41,788.2,113.0
Cotton,Tamil Nadu,Whole Year,24.81,55.88,736.8,36.0
Maize,Rajasthan,Zaid,48.39,261.62,589.4,99.4
Banana,Uttar Pradesh,Zaid,17.06,766.0,1270.1,245.5
Grapes,Rajasthan,Zaid,45.62,535.72,531.9,84.4
Apple,Tamil Nadu,Whole Year,8.52,59.67,826.5,94.1
Wheat,Maharashtra,Rabi,35.95,184.66,581.5,139.7
Grapes,Rajasthan,Zaid,17.61,137.21,519.5,120.3
Cotton,Tamil Nadu,Rabi,18.08,37.16,935.2,82.7
Chickpea,Uttar Pradesh,Whole Year,30.56,61.48,411.5,103.6
Rice,Rajasthan,Whole Year,23.27,52.76,1043.1,85.9
Grapes,Gujarat,Whole Year,6.61,126.03,758.7,157.3
Grapes,Maharashtra,Kharif,33.95,530.03,674.1,114.5
Cotton,Uttar Pradesh,Zaid,19.76,27.15,670.2,101.1
Grapes,Uttar Pradesh,Rabi,41.96,582.53,627.1,148.7
Wheat,Punjab,Kharif,0.89,2.98,493.3,149.1
Grapes,Goa,Whole Year,1.2,21.81,480.7,91.7
Rice,Uttar Pradesh,Zaid,44.76,159.39,1028.3,138.1
Chickpea,Maharashtra,Whole Year,14.24,24.77,625.1,43.8
Apple,Tamil Nadu,Whole Year,20.3,317.69,847.7,114.4
Apple,Goa,Rabi,6.82,82.3,1086.8,118.6
Banana,Maharashtra,Kharif,10.18,376.05,1153.1,226.5
Wheat,Madhya Pradesh,Zaid,18.94,80.71,343.6,170.9
Wheat,Goa,Whole Year,22.26,87.06,578.0,141.0
Apple,Maharashtra,Zaid,7.32,111.12,705.8,152.2
Banana,Haryana,Rabi,26.18,832.09,1485.1,230.4
Grapes,Goa,Zaid,38.29,426.27,873.8,118.3
Banana,Gujarat,Zaid,24.71,801.23,1126.8,159.8
Grapes,Haryana,Zaid,6.29,92.47,622.2,179.8
Apple,Maharashtra,Whole Year,20.88,276.34,970.4,107.8
Tomato,Madhya Pradesh,Zaid,41.91,705.87,456.7,155.6
Chickpea,Tamil Nadu,Kharif,17.24,32.0,478.1,85.5
Banana,Karnataka,Whole Year,40.61,1380.63,1030.5,228.0
Grapes,Goa,Kharif,49.55,744.78,583.8,143.4
Wheat,Madhya Pradesh,Kharif,25.93,99.04,290.1,125.3
Apple,Uttar Pradesh,Kharif,28.56,393.15,924.8,66.8
Banana,Gujarat,Kharif,24.23,775.32,1024.3,193.0
Chickpea,Rajasthan,Whole Year,7.63,13.23,539.2,29.2
Grapes,Punjab,Zaid,20.99,350.98,824.4,182.7
Grapes,Goa,Whole Year,28.26,433.73,591.0,157.9
Tomato,Gujarat,Rabi,47.15,1277.38,865.0,151.0
Chickpea,Madhya Pradesh,Zaid,47.7,104.74,588.3,70.0
Grapes,Rajasthan,Zaid,48.37,893.5,479.1,153.8
Tomato,Punjab,Zaid,17.91,403.5,714.9,205.1
Potato,Karnataka,Whole Year,43.16,796.37,682.6,165.3
Rice,Haryana,Rabi,12.57,45.49,1045.9,88.7
Tomato,Maharashtra,Kharif,39.19,871.88,802.4,178.1
Grapes,Uttar Pradesh,Rabi,18.13,267.34,659.9,164.9
Cotton,Maharashtra,Zaid,48.48,94.4,538.1,85.5
Tomato,Rajasthan,Zaid,1.8,50.6,801.0,177.2
Banana,Tamil Nadu,Zaid,20.67,815.79,1273.1,193.4
Tomato,Punjab,Rabi,0.75,15.96,771.7,218.6
Rice,Uttar Pradesh,Zaid,46.65,176.01,1279.9,141.2
Banana,Maharashtra,Whole Year,40.63,1777.35,1384.3,221.0
Potato,Madhya Pradesh,Zaid,42.54,737.06,495.2,153.1
Potato,Madhya Pradesh,Kharif,45.64,915.13,736.2,161.5
Cotton,Rajasthan,Kharif,37.83,94.46,883.3,80.5
Rice,Uttar Pradesh,Kharif,17.32,57.84,874.6,129.5
Wheat,Karnataka,Zaid,44.74,120.11,292.5,153.7
Apple,Madhya Pradesh,Zaid,12.01,171.42,976.7,137.7
Maize,Madhya Pradesh,Zaid,27.95,119.82,810.6,83.1
Grapes,Madhya Pradesh,Rabi,28.5,431.21,863.6,100.4
Grapes,Rajasthan,Whole Year,9.89,98.05,593.3,130.1
Maize,Karnataka,Rabi,3.98,16.92,739.3,124.8
Wheat,Rajasthan,Kharif,23.92,87.28,292.4,162.0
Cotton,Madhya Pradesh,Whole Year,34.91,73.34,758.2,68.7
Cotton,Karnataka,Zaid,27.38,52.67,748.0,100.8
Chickpea,Goa,Kharif,40.34,88.18,811.7,92.2
Grapes,Gujarat,Whole Year,47.9,583.12,871.3,121.1
Cotton,Gujarat,Kharif,28.16,48.2,695.6,81.6
Chickpea,Gujarat,Kharif,7.5,12.81,320.4,43.0
Cotton,Maharashtra,Kharif,8.79,17.75,706.8,90.7
Potato,Madhya Pradesh,Rabi,6.9,124.52,721.5,144.2
Apple,Maharashtra,Kharif,12.65,175.07,987.9,120.6
Chickpea,Goa,Whole Year,1.27,2.17,282.1,84.7
Chickpea,Tamil Nadu,Whole Year,42.59,50.16,411.4,94.1
Grapes,Gujarat,Kharif,48.73,440.98,670.2,134.9
Grapes,Gujarat,Rabi,6.53,106.15,542.9,173.3
Grapes,Rajasthan,Whole Year,36.97,427.13,456.7,134.4
Grapes,Goa,Zaid,12.62,185.5,812.9,116.6
Wheat,Uttar Pradesh,Rabi,43.06,191.42,359.8,117.0
Chickpea,Goa,Rabi,39.39,85.11,627.7,86.6
Potato,Madhya Pradesh,Kharif,5.64,93.68,417.6,157.2
Maize,Haryana,Kharif,41.04,179.64,426.2,92.9
Tomato,Punjab,Rabi,28.56,723.37,929.4,142.6
Grapes,Gujarat,Rabi,11.18,161.51,741.9,153.9
Chickpea,Madhya Pradesh,Zaid,41.62,85.41,456.5,96.4
Maize,Tamil Nadu,Kharif,19.8,82.93,560.3,93.8
Potato,Goa,Rabi,13.69,187.16,481.6,155.4
Wheat,Haryana,Whole Year,43.2,155.25,679.4,98.3
Maize,Goa,Rabi,7.51,27.76,917.6,101.5
Potato,Tamil Nadu,Zaid,23.05,486.15,484.7,131.8
Apple,Tamil Nadu,Zaid,44.62,669.79,1012.7,149.8
Grapes,Maharashtra,Rabi,30.86,508.63,942.1,125.5
Maize,Punjab,Whole Year,48.38,202.72,684.2,131.3
Tomato,Maharashtra,Zaid,18.2,530.61,831.0,201.6
Apple,Haryana,Whole Year,42.52,452.64,772.7,106.4
Apple,Uttar Pradesh,Rabi,33.74,328.31,806.0,102.6
Banana,Punjab,Rabi,48.74,1801.8,1118.3,230.0
Rice,Rajasthan,Zaid,3.24,13.68,911.8,127.4
Chickpea,Karnataka,Whole Year,46.33,82.8,489.2,22.1
Chickpea,Punjab,Rabi,40.09,77.18,255.5,48.6
Maize,Gujarat,Kharif,1.61,7.53,598.7,128.6
Apple,Goa,Rabi,8.44,84.37,707.9,109.4
Cotton,Karnataka,Zaid,11.5,24.95,846.4,118.5
Banana,Haryana,Zaid,34.63,1051.01,1122.7,178.5
Wheat,Gujarat,Kharif,7.75,32.56,238.7,108.9
Cotton,Punjab,Kharif,4.74,10.55,609.0,114.3
Tomato,Madhya Pradesh,Kharif,19.53,382.97,710.8,137.4
Rice,Haryana,Kharif,16.19,56.82,1300.4,109.3
Grapes,Goa,Kharif,33.38,541.68,535.6,119.8
Banana,Haryana,Kharif,29.51,1136.24,1085.6,158.7
Potato,Madhya Pradesh,Rabi,48.59,1172.57,628.8,156.1
Potato,Gujarat,Kharif,45.16,762.67,493.8,156.2
Apple,Punjab,Zaid,48.43,631.08,1088.4,71.6
Apple,Maharashtra,Zaid,36.8,463.08,1081.9,128.1
Wheat,Tamil Nadu,Zaid,27.64,90.61,492.2,106.4
Banana,Karnataka,Whole Year,8.32,301.08,1369.8,204.1
Tomato,Goa,Kharif,42.33,1046.34,735.9,163.7
Wheat,Goa,Kharif,20.3,76.92,200.0,113.3
Cotton,Gujarat,Rabi,22.46,48.1,867.0,114.7
Chickpea,Goa,Rabi,3.81,6.77,524.2,21.6
Wheat,Rajasthan,Kharif,38.82,145.0,773.4,126.9
Potato,Maharashtra,Zaid,27.92,409.54,604.8,194.4
Grapes,Rajasthan,Rabi,22.25,326.88,793.9,135.5
Tomato,Punjab,Whole Year,2.97,51.63,725.3,123.1
Cotton,Haryana,Whole Year,33.9,67.19,916.0,102.3
Wheat,Madhya Pradesh,Kharif,25.44,88.53,613.5,112.4
Tomato,Uttar Pradesh,Whole Year,1.26,26.21,573.2,132.9
Maize,Madhya Pradesh,Kharif,5.44,22.51,597.4,117.7
Potato,Punjab,Rabi,24.13,321.33,453.9,188.2
Grapes,Karnataka,Zaid,41.57,568.25,633.4,151.4
Grapes,Tamil Nadu,Rabi,33.96,376.51,775.9,156.3
Maize,Punjab,Kharif,4.49,21.86,1047.6,93.7
Potato,Gujarat,Kharif,8.88,174.09,775.9,166.9
Tomato,Tamil Nadu,Kharif,22.83,579.09,857.7,179.9
Tomato,Gujarat,Zaid,7.89,156.79,775.8,151.9
Apple,Rajasthan,Rabi,1.43,14.23,724.7,100.3
Rice,Haryana,Zaid,18.26,55.45,858.4,112.9
Tomato,Haryana,Whole Year,22.38,567.34,810.3,155.9
Maize,Rajasthan,Zaid,29.03,143.59,900.3,98.4
Maize,Haryana,Whole Year,32.57,147.73,723.0,122.6
Chickpea,Madhya Pradesh,Rabi,14.78,34.98,633.5,79.7
Cotton,Gujarat,Kharif,38.7,104.59,883.2,91.0
Tomato,Uttar Pradesh,Rabi,8.71,183.35,702.2,144.4
Wheat,Madhya Pradesh,Kharif,19.34,81.35,637.3,152.5
Wheat,Rajasthan,Zaid,15.28,48.77,536.9,92.3
Apple,Goa,Kharif,20.13,221.67,710.4,62.8
Chickpea,Punjab,Kharif,17.91,35.51,455.8,84.0
Potato,Rajasthan,Zaid,36.65,704.37,368.3,179.6
Chickpea,Punjab,Kharif,12.79,21.92,534.9,49.7
Potato,Uttar Pradesh,Rabi,14.37,313.73,621.1,129.6
Cotton,Tamil Nadu,Rabi,32.46,58.49,723.8,111.5
Apple,Maharashtra,Kharif,39.61,395.35,1097.4,57.9
Banana,Goa,Kharif,32.26,904.61,1398.2,191.9
Rice,Uttar Pradesh,Whole Year,31.19,97.26,962.0,157.3
Chickpea,Gujarat,Kharif,24.86,45.7,341.6,43.8
Banana,Maharashtra,Zaid,35.13,1043.28,913.3,183.8
Tomato,Goa,Whole Year,42.29,710.17,780.6,126.1
Rice,Goa,Zaid,49.61,165.29,1027.4,107.8
Maize,Tamil Nadu,Whole Year,2.46,8.98,802.0,116.3
Tomato,Tamil Nadu,Rabi,15.65,304.39,250.6,158.4
Wheat,Madhya Pradesh,Whole Year,3.96,15.65,352.5,122.5
Cotton,Rajasthan,Zaid,42.96,84.63,728.6,119.3
Wheat,Gujarat,Kharif,42.45,144.17,299.7,134.1
Maize,Madhya Pradesh,Zaid,31.44,103.27,709.3,140.6
Maize,Gujarat,Kharif,32.82,144.3,724.3,65.1
Chickpea,Uttar Pradesh,Kharif,41.09,85.78,517.5,20.0
Grapes,Karnataka,Rabi,43.11,766.49,699.7,187.2
Wheat,Goa,Kharif,25.46,91.82,815.0,76.7
Tomato,Maharashtra,Zaid,5.57,143.21,711.7,136.7
Banana,Gujarat,Zaid,45.88,2032.55,1218.8,255.2
Rice,Karnataka,Whole Year,29.06,119.71,844.3,121.1
Chickpea,Goa,Zaid,21.46,47.62,680.3,34.4
Potato,Maharashtra,Kharif,32.61,849.91,874.3,165.4
Apple,Uttar Pradesh,Whole Year,39.43,319.46,778.7,95.6
Potato,Punjab,Kharif,42.49,965.7,534.0,206.1
Potato,Goa,Whole Year,11.67,194.77,830.7,131.5
Tomato,Tamil Nadu,Kharif,21.76,407.51,718.7,130.2
Maize,Madhya Pradesh,Whole Year,21.58,101.66,692.3,124.9
Potato,Gujarat,Rabi,23.9,373.38,500.2,142.7
Grapes,Goa,Rabi,30.87,377.28,683.8,191.1
Tomato,Gujarat,Rabi,25.22,696.41,764.5,147.0
Cotton,Tamil Nadu,Zaid,27.82,84.01,661.7,115.7
Tomato,Goa,Rabi,1.69,32.76,936.9,159.2
Cotton,Punjab,Kharif,5.07,3.67,588.7,30.0
Wheat,Haryana,Whole Year,14.35,56.05,532.2,182.8
Rice,Haryana,Whole Year,14.49,57.02,1028.4,131.3
Apple,Madhya Pradesh,Rabi,2.83,31.09,856.5,130.2
Rice,Karnataka,Kharif,36.23,138.55,1120.3,140.7
Cotton,Uttar Pradesh,Rabi,17.42,36.57,734.3,144.4
Apple,Gujarat,Rabi,8.81,112.59,798.8,110.5
Wheat,Uttar Pradesh,Rabi,39.55,193.64,440.0,109.2
Potato,Karnataka,Whole Year,2.64,53.2,480.2,139.9
Grapes,Madhya Pradesh,Whole Year,33.06,497.25,546.1,113.7
Chickpea,Tamil Nadu,Rabi,36.57,65.16,633.1,73.5
Chickpea,Haryana,Rabi,49.94,82.52,380.1,64.9
Tomato,Madhya Pradesh,Kharif,49.74,1178.77,667.6,190.1
Grapes,Gujarat,Zaid,11.77,195.01,489.4,143.9
Grapes,Tamil Nadu,Kharif,3.39,49.85,352.1,154.0
Tomato,Karnataka,Kharif,36.36,635.11,914.6,140.7
Cotton,Uttar Pradesh,Rabi,30.55,67.66,854.3,81.1
Banana,Madhya Pradesh,Whole Year,41.15,1753.72,972.2,219.1
Wheat,Haryana,Rabi,1.64,7.99,704.0,143.1
Rice,Haryana,Kharif,9.03,27.09,807.4,119.7
Tomato,Karnataka,Zaid,18.03,416.02,957.8,199.7
Wheat,Goa,Whole Year,33.11,106.78,468.1,59.5
Chickpea,Punjab,Kharif,41.34,85.04,529.3,43.8
Maize,Gujarat,Zaid,1.14,3.83,766.9,134.8
Chickpea,Gujarat,Rabi,44.14,90.8,795.6,41.5
Tomato,Maharashtra,Whole Year,15.02,362.45,803.9,169.2
Rice,Uttar Pradesh,Whole Year,31.21,94.42,964.1,60.4
Banana,Tamil Nadu,Whole Year,6.3,180.63,1207.2,232.0
Banana,Maharashtra,Zaid,46.31,1301.38,1079.4,210.8
Grapes,Gujarat,Whole Year,28.31,497.45,731.4,119.1
Chickpea,Madhya Pradesh,Rabi,49.55,100.21,544.8,62.1
Chickpea,Gujarat,Whole Year,22.35,27.1,554.5,52.5
Banana,Goa,Rabi,49.81,1975.26,1043.3,202.8
Potato,Punjab,Rabi,35.65,492.97,604.6,146.3
Cotton,Tamil Nadu,Rabi,8.69,22.23,894.1,115.4
Wheat,Goa,Rabi,30.2,115.74,384.0,109.7
Wheat,Madhya Pradesh,Zaid,2.07,5.47,565.2,112.6
Tomato,Gujarat,Kharif,17.68,436.56,1019.5,147.8
Potato,Gujarat,Zaid,45.49,611.94,897.8,154.2
Chickpea,Maharashtra,Zaid,11.18,21.53,389.8,29.6
Tomato,Punjab,Rabi,44.14,1121.13,620.1,181.9
Tomato,Haryana,Kharif,2.98,57.65,931.7,149.9
Banana,Haryana,Whole Year,48.64,1923.98,1126.5,196.9
Apple,Gujarat,Kharif,25.02,314.62,893.6,86.9
Tomato,Uttar Pradesh,Kharif,41.69,1007.77,883.0,173.6
Maize,Maharashtra,Zaid,15.3,62.15,647.5,99.5
Banana,Haryana,Kharif,38.15,1346.8,1177.9,206.2
Grapes,Tamil Nadu,Kharif,12.27,180.63,750.1,102.1
Chickpea,Karnataka,Zaid,28.35,40.27,450.0,75.0
Wheat,Rajasthan,Whole Year,13.57,58.86,470.0,121.0
Apple,Rajasthan,Kharif,41.15,481.61,906.2,48.2
Apple,Tamil Nadu,Rabi,30.43,319.99,911.2,83.5
Maize,Tamil Nadu,Rabi,41.9,147.58,638.7,91.8
Banana,Goa,Kharif,40.36,1222.89,1089.8,217.1
Rice,Punjab,Whole Year,37.38,111.52,1144.1,164.2
Maize,Tamil Nadu,Whole Year,44.93,192.72,736.4,90.9
Chickpea,Haryana,Zaid,12.62,25.35,623.8,20.0
Maize,Punjab,Zaid,44.93,217.56,903.5,122.0
Wheat,Tamil Nadu,Zaid,13.12,66.0,733.7,141.2
Banana,Karnataka,Rabi,14.55,451.63,1295.0,179.0
Chickpea,Haryana,Rabi,37.25,56.26,521.5,62.6
Apple,Rajasthan,Whole Year,47.45,535.52,939.8,97.0
Chickpea,Karnataka,Rabi,29.7,56.0,570.9,57.9
Potato,Rajasthan,Rabi,4.13,85.08,807.5,155.6
Tomato,Haryana,Rabi,30.37,713.27,606.3,165.0
Wheat,Karnataka,Rabi,33.7,145.77,692.6,138.3
Wheat,Madhya Pradesh,Whole Year,7.99,30.14,245.0,84.6
Cotton,Maharashtra,Zaid,47.49,105.33,865.5,75.7
Tomato,Punjab,Whole Year,48.97,923.76,735.5,155.8
Banana,Goa,Whole Year,18.81,603.74,1112.3,199.6
Wheat,Rajasthan,Kharif,46.48,206.73,466.0,121.9
Cotton,Goa,Whole Year,37.56,104.97,953.6,86.8
Banana,Rajasthan,Rabi,14.99,585.45,1280.2,221.4
Chickpea,Madhya Pradesh,Rabi,24.12,51.88,463.4,71.6
Apple,Haryana,Kharif,17.29,238.39,846.0,115.4
Rice,Karnataka,Zaid,49.29,160.16,984.1,122.3
Wheat,Maharashtra,Kharif,44.17,209.65,649.5,134.2
Potato,Gujarat,Rabi,7.15,158.99,689.9,158.8
Apple,Goa,Rabi,44.49,607.33,732.7,96.3
Potato,Gujarat,Whole Year,9.89,119.82,496.4,136.8
Potato,Gujarat,Whole Year,18.06,274.08,356.8,164.3
Chickpea,Rajasthan,Kharif,19.55,33.93,558.3,64.7
Apple,Punjab,Rabi,14.04,146.86,769.1,96.6
Tomato,Goa,Zaid,28.22,592.41,674.8,166.7
Rice,Karnataka,Rabi,44.66,164.79,1169.9,83.4
Potato,Gujarat,Rabi,8.96,157.07,793.6,169.8
Chickpea,Punjab,Rabi,28.12,69.75,200.0,41.0
Chickpea,Rajasthan,Rabi,3.13,4.81,605.8,46.3
Apple,Madhya Pradesh,Whole Year,44.21,596.48,1178.6,124.9
Tomato,Tamil Nadu,Zaid,19.46,260.79,729.2,134.7
Wheat,Punjab,Zaid,14.37,59.19,623.1,129.1
Wheat,Karnataka,Whole Year,12.66,55.71,579.1,122.9
Banana,Karnataka,Zaid,14.57,655.99,1213.3,158.5
Apple,Uttar Pradesh,Rabi,41.21,603.62,887.2,66.6
Banana,Punjab,Zaid,3.38,125.76,1123.0,227.6
Tomato,Rajasthan,Zaid,20.07,421.67,637.8,159.9
Potato,Tamil Nadu,Whole Year,2.48,39.23,616.9,143.0
Banana,Goa,Whole Year,36.11,1506.01,1193.8,168.1
Chickpea,Karnataka,Whole Year,16.26,32.27,400.3,52.1
Potato,Gujarat,Kharif,25.29,489.58,880.2,146.0
Banana,Rajasthan,Kharif,48.75,1836.78,1086.8,217.5
Chickpea,Madhya Pradesh,Kharif,30.56,51.49,441.5,56.9
Apple,Madhya Pradesh,Kharif,35.86,462.62,942.4,84.0
Chickpea,Rajasthan,Rabi,11.62,20.93,493.1,46.8
Chickpea,Gujarat,Kharif,31.61,56.82,419.9,52.5
Banana,Rajasthan,Zaid,3.93,171.36,1246.7,267.5
Grapes,Maharashtra,Kharif,40.96,739.91,610.6,151.0
Banana,Punjab,Kharif,32.86,1130.27,1358.3,192.7
Cotton,Rajasthan,Rabi,48.67,85.95,854.8,66.0
Potato,Haryana,Kharif,9.4,156.55,420.9,163.4
Chickpea,Madhya Pradesh,Zaid,13.51,19.92,873.6,20.0
Tomato,Tamil Nadu,Kharif,40.12,1065.62,921.5,160.2
Maize,Punjab,Rabi,37.05,191.55,652.4,131.3
Chickpea,Gujarat,Kharif,18.62,36.57,481.8,72.8
Banana,Tamil Nadu,Rabi,39.69,1568.98,1063.6,192.4
Rice,Punjab,Kharif,23.26,81.63,867.4,152.8
Maize,Punjab,Whole Year,44.64,187.67,695.1,106.4
Tomato,Goa,Whole Year,16.01,312.36,637.9,183.7
Potato,Rajasthan,Whole Year,27.62,423.34,530.6,180.9
Chickpea,Tamil Nadu,Whole Year,22.98,49.4,400.5,37.9
Rice,Uttar Pradesh,Zaid,31.99,136.69,1172.1,143.1
Maize,Punjab,Zaid,25.84,107.08,596.8,133.7
Chickpea,Madhya Pradesh,Whole Year,28.54,53.62,418.4,25.3
Apple,Haryana,Whole Year,7.54,80.94,1096.7,103.4
Potato,Madhya Pradesh,Rabi,31.18,551.68,412.8,162.5
Wheat,Gujarat,Kharif,4.03,17.89,467.8,148.5
Potato,Goa,Zaid,32.18,556.46,350.4,126.0
Banana,Madhya Pradesh,Whole Year,13.46,577.43,1050.6,243.6
Chickpea,Karnataka,Whole Year,47.69,66.3,249.6,51.1
Apple,Madhya Pradesh,Rabi,24.64,232.3,839.3,100.4
Apple,Madhya Pradesh,Zaid,26.04,283.16,773.0,57.6
Chickpea,Rajasthan,Kharif,45.5,82.5,374.8,49.8
Maize,Goa,Kharif,48.12,212.52,759.1,136.0
Tomato,Gujarat,Zaid,32.59,695.08,606.0,183.2
Potato,Uttar Pradesh,Rabi,33.41,524.02,414.5,145.0
Apple,Uttar Pradesh,Whole Year,43.23,436.6,1186.8,48.1
Rice,Goa,Kharif,7.53,30.73,1005.7,159.7
Banana,Maharashtra,Whole Year,9.93,376.23,1231.2,187.8
Apple,Gujarat,Kharif,8.39,101.97,1016.2,116.6
Rice,Tamil Nadu,Zaid,34.15,117.46,760.9,108.0
Wheat,Rajasthan,Whole Year,3.85,18.06,742.4,157.1
Tomato,Gujarat,Rabi,26.8,614.05,495.4,140.8
Apple,Tamil Nadu,Rabi,36.95,381.87,848.9,55.1
Tomato,Tamil Nadu,Zaid,22.22,498.1,755.4,158.3
Potato,Uttar Pradesh,Whole Year,49.96,490.49,602.2,89.6
Apple,Rajasthan,Kharif,21.98,181.48,816.7,118.3
Apple,Rajasthan,Kharif,9.99,133.33,814.5,79.6
Apple,Rajasthan,Zaid,14.97,216.02,951.7,104.9
Apple,Karnataka,Zaid,31.86,432.68,1013.1,97.6
Apple,Punjab,Kharif,35.45,335.57,1120.9,67.8
Chickpea,Tamil Nadu,Kharif,35.58,68.38,222.4,72.9
Banana,Karnataka,Kharif,27.22,995.55,1168.1,246.5
Chickpea,Uttar Pradesh,Kharif,43.96,101.96,400.6,65.3
Tomato,Maharashtra,Kharif,38.0,764.24,702.0,164.8
Cotton,Karnataka,Kharif,48.96,93.98,705.8,66.7
Grapes,Maharashtra,Whole Year,17.65,333.8,551.3,127.8
Chickpea,Tamil Nadu,Rabi,11.64,21.87,472.0,24.2
Tomato,Uttar Pradesh,Whole Year,23.47,512.65,741.2,175.8
Potato,Uttar Pradesh,Rabi,27.09,485.55,640.0,161.3
Banana,Haryana,Rabi,10.93,278.86,1129.8,161.0
Wheat,Haryana,Kharif,3.19,13.04,505.0,113.3
Cotton,Tamil Nadu,Kharif,24.14,62.72,719.4,134.5
Potato,Goa,Kharif,48.11,1004.5,794.4,157.6
Tomato,Rajasthan,Kharif,15.15,306.22,491.5,134.8
Grapes,Gujarat,Zaid,24.61,272.94,503.0,126.8
Cotton,Punjab,Kharif,4.41,9.84,1026.2,94.0
Rice,Uttar Pradesh,Zaid,46.94,136.62,984.7,134.8
Cotton,Punjab,Whole Year,8.68,18.92,635.8,108.4
Tomato,Goa,Rabi,17.45,331.87,884.0,151.5
Cotton,Goa,Rabi,25.03,49.84,674.0,99.8
Rice,Karnataka,Kharif,22.24,77.44,1313.8,29.1
Potato,Haryana,Rabi,44.22,665.93,431.3,130.8
Potato,Rajasthan,Whole Year,15.26,255.29,316.2,167.9
Chickpea,Gujarat,Zaid,35.48,67.03,279.9,94.3
Cotton,Maharashtra,Zaid,9.59,24.42,894.8,145.1
Grapes,Gujarat,Rabi,22.35,403.08,589.9,152.7
Apple,Rajasthan,Zaid,33.53,335.22,606.1,90.0
Cotton,Maharashtra,Rabi,12.92,25.58,757.8,65.8
Chickpea,Uttar Pradesh,Kharif,8.31,16.91,554.3,79.9
Apple,Tamil Nadu,Kharif,31.77,238.27,741.2,99.9
Apple,Maharashtra,Kharif,2.85,35.06,1019.2,102.8
Potato,Karnataka,Zaid,5.57,98.42,669.7,136.6
Cotton,Tamil Nadu,Rabi,8.79,24.82,984.9,132.1
Wheat,Gujarat,Kharif,30.42,131.32,306.5,148.9
Chickpea,Madhya Pradesh,Whole Year,29.35,59.17,541.0,59.4
Rice,Madhya Pradesh,Zaid,19.37,76.79,1405.1,131.3
Banana,Haryana,Rabi,8.44,338.0,1129.4,223.4
Wheat,Goa,Zaid,4.29,22.54,554.7,153.5
Wheat,Karnataka,Zaid,46.6,180.01,426.9,107.9
Chickpea,Punjab,Rabi,17.58,39.39,476.9,72.0
Wheat,Goa,Rabi,35.7,137.36,328.9,113.5
Cotton,Gujarat,Whole Year,25.3,56.58,881.4,88.1
Rice,Tamil Nadu,Zaid,5.03,17.32,988.8,111.5
Tomato,Punjab,Kharif,15.53,312.66,719.5,152.4
Potato,Tamil Nadu,Kharif,3.91,97.83,629.1,171.4
Potato,Rajasthan,Kharif,49.76,1239.46,517.4,154.0
Grapes,Goa,Zaid,24.76,428.58,798.5,150.3
Tomato,Karnataka,Whole Year,15.66,306.61,830.3,175.6
Maize,Uttar Pradesh,Zaid,35.38,138.59,501.3,119.2
Tomato,Haryana,Rabi,41.49,940.16,803.6,141.9
Apple,Karnataka,Kharif,0.97,11.01,943.1,112.0
Grapes,Gujarat,Rabi,3.43,61.15,788.1,133.5
Maize,Madhya Pradesh,Zaid,8.66,27.81,470.4,81.3
Tomato,Madhya Pradesh,Rabi,42.1,896.7,932.2,186.1
Tomato,Haryana,Whole Year,47.22,1205.32,1025.2,167.7
Rice,Punjab,Zaid,23.35,80.04,1149.8,155.5
Potato,Rajasthan,Zaid,45.33,822.29,605.2,145.3
Cotton,Tamil Nadu,Kharif,6.49,8.91,861.3,112.9
Potato,Karnataka,Kharif,28.25,438.47,271.9,117.2
Grapes,Tamil Nadu,Zaid,33.51,442.79,692.5,146.0
Banana,Maharashtra,Rabi,23.09,709.35,1307.4,216.9
Maize,Uttar Pradesh,Zaid,0.8,4.02,700.0,73.3
Wheat,Tamil Nadu,Whole Year,38.0,152.13,584.5,172.5
Grapes,Maharashtra,Kharif,11.63,158.56,582.1,162.2
Rice,Goa,Rabi,11.95,33.58,1015.4,66.4
Tomato,Karnataka,Zaid,1.72,35.07,405.1,162.4
Banana,Gujarat,Rabi,41.97,1477.24,1363.2,139.2
Maize,Tamil Nadu,Rabi,34.34,124.7,784.4,103.0
Tomato,Karnataka,Rabi,41.95,530.87,869.2,161.8
Tomato,Gujarat,Whole Year,18.12,377.57,746.6,148.8
Chickpea,Haryana,Zaid,4.82,8.06,281.4,86.4
Banana,Maharashtra,Whole Year,30.33,992.77,1426.5,152.1
