N,P,K,temperature,humidity,ph,rainfall,label
22.2,57.4,21.6,23.54,66.19,6.17,39.93,lentil
26.5,68.4,18.6,26.16,65.06,6.58,44.77,lentil
16.6,64.5,25.2,22.21,64.35,6.37,35.33,lentil
30.6,62.0,23.8,23.83,67.1,6.47,44.22,lentil
22.0,67.7,17.8,25.29,63.17,6.61,45.54,lentil
27.1,65.3,18.1,22.28,66.12,6.43,48.94,lentil
26.3,61.8,20.5,24.21,61.14,6.68,46.47,lentil
29.1,59.7,25.6,28.46,62.8,6.53,45.0,lentil
19.9,66.6,24.6,22.8,66.94,6.12,40.02,lentil
25.5,65.1,20.7,25.62,65.88,6.54,44.59,lentil
27.0,63.5,27.6,22.37,68.51,6.41,40.41,lentil
29.6,65.4,24.6,26.45,65.56,6.3,48.25,lentil
25.0,67.3,17.1,24.89,63.94,6.68,47.08,lentil
25.8,66.6,20.0,27.25,68.32,6.47,50.3,lentil
23.1,62.3,22.6,24.87,64.34,6.49,46.02,lentil
21.7,66.7,24.7,24.34,66.92,6.2,46.56,lentil
21.1,61.3,20.9,22.12,64.09,6.36,47.79,lentil
23.9,59.7,25.4,22.33,64.9,6.47,45.67,lentil
28.6,66.6,20.3,28.36,65.32,6.38,48.21,lentil
25.8,66.3,28.7,23.45,64.47,6.42,48.57,lentil
20.0,58.4,21.0,20.73,64.29,6.48,42.03,lentil
20.2,65.2,24.7,20.61,66.37,6.54,48.18,lentil
29.1,72.3,21.6,24.22,64.31,6.4,50.11,lentil
20.5,62.1,25.9,26.04,64.39,6.54,46.14,lentil
30.0,65.2,25.1,29.28,66.0,6.41,47.41,lentil
23.8,73.0,23.0,23.45,63.61,6.58,47.89,lentil
23.3,66.9,18.7,24.37,65.75,6.68,42.43,lentil
20.7,62.0,19.2,26.67,67.58,6.45,49.07,lentil
25.4,64.7,21.7,23.38,62.42,6.44,44.87,lentil
27.5,65.3,22.1,22.26,65.12,6.52,41.19,lentil
25.3,65.8,20.7,22.82,65.38,6.21,46.17,lentil
22.0,68.5,28.3,22.28,65.89,6.28,48.47,lentil
20.8,66.6,20.3,23.59,63.28,6.54,42.21,lentil
26.8,63.9,22.2,24.3,63.73,6.44,50.1,lentil
22.4,68.9,26.2,22.37,62.57,6.45,43.18,lentil
31.2,65.1,20.5,21.71,66.82,6.3,45.15,lentil
28.2,63.4,22.4,23.97,66.14,6.5,44.27,lentil
25.2,63.8,18.8,24.52,68.15,6.25,42.42,lentil
22.1,67.4,23.6,23.68,63.47,6.42,39.78,lentil
25.5,67.9,19.4,20.93,67.63,6.3,48.79,lentil
24.5,64.5,23.6,22.23,65.22,6.34,40.6,lentil
26.1,64.1,22.1,21.58,67.65,6.55,48.21,lentil
24.0,59.2,27.4,23.88,63.75,6.47,48.89,lentil
24.9,69.3,25.2,21.85,63.88,6.56,35.96,lentil
24.5,60.2,21.3,23.4,64.4,6.31,41.34,lentil
32.6,71.2,19.6,27.16,64.33,6.42,44.79,lentil
22.8,68.3,22.8,23.05,62.83,6.25,39.53,lentil
25.0,61.0,21.8,26.74,67.0,6.39,44.71,lentil
31.3,66.7,21.7,21.15,65.66,6.54,42.89,lentil
26.0,63.8,22.0,19.02,64.63,6.56,42.9,lentil
25.2,62.5,23.4,23.57,63.43,6.62,48.1,lentil
23.0,66.7,23.8,25.28,62.18,6.57,43.1,lentil
23.8,73.8,23.3,23.23,61.32,6.63,40.52,lentil
21.7,63.9,26.0,25.55,64.74,6.45,43.0,lentil
25.5,65.2,24.9,25.93,65.82,6.34,47.47,lentil
24.7,61.4,21.5,24.17,66.52,6.37,40.97,lentil
25.2,65.4,23.0,25.84,66.7,6.3,42.95,lentil
21.5,67.3,26.1,23.37,64.6,6.64,46.69,lentil
26.5,61.0,24.2,22.14,63.11,6.34,43.05,lentil
24.3,18.9,41.6,22.82,86.75,6.63,45.95,pomegranate
27.9,22.3,40.0,21.28,92.02,6.0,53.04,pomegranate
28.7,24.3,43.9,20.88,91.6,6.32,56.17,pomegranate
25.0,21.5,42.2,20.93,87.65,6.2,53.1,pomegranate
29.6,22.8,42.2,19.92,89.26,6.27,49.43,pomegranate
25.3,24.2,39.3,21.66,89.92,6.09,49.43,pomegranate
24.5,22.1,40.1,21.59,89.28,6.71,44.15,pomegranate
22.6,29.4,38.3,19.92,91.22,5.76,48.82,pomegranate
32.2,18.6,36.7,19.75,91.5,6.67,47.44,pomegranate
27.3,26.0,43.0,21.21,86.16,6.12,47.87,pomegranate
24.1,22.0,41.9,22.99,89.71,6.66,51.79,pomegranate
25.2,24.8,40.1,23.9,87.6,6.2,49.37,pomegranate
26.5,25.7,40.0,19.84,91.4,6.56,40.29,pomegranate
25.0,18.5,38.9,20.45,91.35,6.38,43.57,pomegranate
27.9,18.9,40.6,20.55,89.39,6.49,52.61,pomegranate
29.5,22.3,40.5,20.99,90.3,6.47,49.51,pomegranate
19.0,23.3,40.6,20.71,87.86,6.77,52.46,pomegranate
24.2,19.7,38.6,23.02,90.23,6.19,52.55,pomegranate
22.3,26.3,42.3,20.96,88.95,5.61,42.59,pomegranate
20.5,22.8,39.5,19.93,89.53,6.49,52.64,pomegranate
18.7,22.2,37.7,22.55,91.31,6.1,46.17,pomegranate
23.5,16.9,40.6,21.18,91.62,6.04,46.9,pomegranate
20.0,20.0,38.0,22.66,88.84,6.39,48.1,pomegranate
20.8,22.1,41.0,20.09,91.35,6.11,47.59,pomegranate
26.8,20.8,40.1,21.13,90.22,5.68,40.85,pomegranate
27.1,25.1,38.5,21.22,90.49,6.55,39.86,pomegranate
22.0,21.7,41.2,24.41,89.62,5.95,52.01,pomegranate
29.4,22.8,38.5,22.62,91.11,6.06,51.91,pomegranate
28.3,25.5,39.9,21.08,92.05,6.01,52.19,pomegranate
20.4,25.2,39.6,22.98,90.82,6.0,57.12,pomegranate
30.2,24.7,38.7,21.14,90.24,6.15,58.46,pomegranate
25.5,15.7,40.6,21.09,89.88,6.25,54.04,pomegranate
28.7,23.2,39.4,21.45,90.03,6.12,52.89,pomegranate
26.5,26.4,42.1,20.7,91.37,6.08,53.48,pomegranate
23.3,19.9,40.5,18.38,87.08,6.3,50.41,pomegranate
23.8,18.6,38.6,21.96,90.97,6.35,55.78,pomegranate
26.3,20.6,39.5,19.86,89.82,6.67,53.43,pomegranate
29.7,21.7,42.2,21.27,92.45,6.34,53.54,pomegranate
29.9,22.0,40.4,23.0,89.78,5.98,60.72,pomegranate
23.4,22.9,41.9,20.79,88.32,6.42,41.03,pomegranate
24.0,23.1,39.6,19.7,92.66,6.38,57.16,pomegranate
24.1,20.3,40.4,21.25,88.04,6.77,46.89,pomegranate
18.9,25.8,39.2,20.79,87.06,6.84,43.55,pomegranate
25.2,24.8,40.7,21.43,87.16,6.12,50.94,pomegranate
22.4,23.0,41.1,22.62,87.96,6.97,53.84,pomegranate
25.0,25.2,43.9,19.82,89.62,5.68,50.96,pomegranate
26.2,22.4,38.9,19.11,90.62,6.76,47.04,pomegranate
26.5,18.6,40.8,21.04,88.73,6.13,48.03,pomegranate
26.3,19.2,39.3,21.45,88.17,6.86,45.73,pomegranate
22.8,20.1,43.0,22.15,88.44,6.66,51.0,pomegranate
25.9,21.6,38.8,21.89,89.09,6.86,43.65,pomegranate
30.1,22.2,40.5,22.47,88.95,6.59,36.46,pomegranate
22.6,20.2,37.9,21.25,90.64,6.55,51.2,pomegranate
22.8,23.4,40.2,22.59,91.29,6.36,45.51,pomegranate
22.8,21.1,39.5,21.81,91.19,6.34,50.08,pomegranate
25.5,21.2,38.5,19.45,88.84,6.48,46.49,pomegranate
24.2,23.7,40.9,20.24,91.66,6.67,44.35,pomegranate
22.3,25.5,39.8,18.91,87.67,6.28,44.18,pomegranate
23.6,22.6,42.4,21.16,91.79,6.75,57.17,pomegranate
25.9,17.6,40.8,22.72,89.86,6.84,54.3,pomegranate
26.9,25.2,40.6,18.59,89.17,6.69,45.96,pomegranate
24.3,19.9,43.0,23.46,88.53,6.39,46.6,pomegranate
27.0,23.8,41.4,21.89,94.89,6.06,41.45,pomegranate
23.7,18.6,37.5,20.33,88.46,6.08,52.59,pomegranate
23.3,22.1,41.5,20.61,89.56,6.45,40.29,pomegranate
17.1,23.4,40.8,23.91,90.26,6.58,49.02,pomegranate
26.0,26.7,36.5,21.98,93.56,6.43,58.25,pomegranate
22.9,22.4,40.1,18.91,88.05,6.04,54.11,pomegranate
27.9,23.3,41.4,21.31,92.0,6.35,50.29,pomegranate
24.1,24.2,39.3,22.64,88.11,6.04,53.44,pomegranate
24.7,21.4,41.5,20.79,89.67,6.75,57.7,pomegranate
30.2,21.8,42.1,20.39,88.49,5.68,58.36,pomegranate
22.1,22.2,38.5,22.31,89.37,5.98,52.21,pomegranate
20.2,20.4,36.5,19.84,90.3,5.79,42.59,pomegranate
25.0,21.1,43.3,23.64,88.55,6.51,53.75,pomegranate
23.0,18.8,40.0,21.3,89.27,6.48,46.25,pomegranate
21.2,22.8,40.6,20.13,91.55,5.85,47.11,pomegranate
24.1,20.9,39.1,23.68,88.58,7.04,52.19,pomegranate
25.3,23.7,44.2,20.34,88.13,6.14,50.16,pomegranate
19.2,22.6,42.8,21.68,89.51,6.17,54.49,pomegranate
22.2,27.1,43.2,21.8,89.98,6.64,55.47,pomegranate
22.3,21.2,37.8,21.98,91.11,5.97,47.72,pomegranate
20.5,20.3,40.9,20.64,89.5,5.89,50.93,pomegranate
24.9,20.7,39.7,21.71,88.64,5.93,59.03,pomegranate
22.9,22.3,41.7,25.62,87.93,6.48,46.46,pomegranate
23.2,20.7,38.1,21.45,87.54,6.62,50.28,pomegranate
26.4,21.3,39.4,21.84,88.06,6.25,45.7,pomegranate
22.0,17.2,42.2,20.7,91.94,6.65,43.57,pomegranate
21.4,28.9,42.9,21.46,90.43,6.17,52.16,pomegranate
22.6,17.4,37.8,21.52,88.11,6.33,44.63,pomegranate
22.4,24.6,40.4,21.49,91.46,6.49,57.23,pomegranate
23.5,21.4,37.8,21.0,91.61,6.72,54.8,pomegranate
19.0,25.2,36.9,22.55,89.39,6.55,43.34,pomegranate
28.9,18.8,38.9,20.34,87.08,6.38,59.03,pomegranate
33.9,22.7,41.9,21.77,90.83,6.25,50.98,pomegranate
26.8,21.1,39.9,21.43,91.38,6.05,49.74,pomegranate
31.4,25.4,42.2,21.53,90.53,6.63,57.8,pomegranate
18.5,19.2,42.2,21.18,88.88,5.99,47.22,pomegranate
20.3,27.7,40.0,21.43,90.98,6.62,54.73,pomegranate
28.6,20.9,39.5,22.4,89.12,6.35,51.99,pomegranate
108.9,75.1,51.2,27.31,81.18,6.13,113.04,banana
111.8,88.1,52.4,27.74,80.05,6.15,108.66,banana
103.5,84.2,49.9,26.79,82.15,6.01,115.24,banana
96.9,80.2,50.1,28.45,80.67,6.05,99.36,banana
99.2,83.8,47.7,27.06,80.83,5.84,113.03,banana
111.1,76.0,48.4,25.6,78.7,6.13,102.93,banana
107.3,76.2,51.3,27.04,80.02,5.98,98.64,banana
99.2,86.5,50.7,28.38,80.54,6.02,96.37,banana
103.6,82.4,53.3,28.07,82.56,6.1,101.44,banana
105.6,83.5,48.4,27.18,79.66,6.27,94.6,banana
111.0,78.6,47.7,28.48,81.22,6.21,109.0,banana
115.3,84.8,49.7,27.79,82.07,5.87,101.74,banana
103.5,73.7,50.2,25.93,80.09,6.14,102.62,banana
113.4,76.4,52.0,28.06,77.14,6.45,104.68,banana
100.6,76.6,49.6,27.39,80.17,5.95,108.17,banana
103.1,74.4,49.8,25.53,80.59,5.84,105.82,banana
111.6,78.5,51.8,27.14,82.92,5.94,100.8,banana
108.4,80.7,48.6,27.1,79.93,6.22,95.33,banana
105.1,85.1,50.3,28.59,79.88,5.97,107.96,banana
105.5,80.9,50.9,26.96,78.98,5.91,111.77,banana
88.9,84.1,50.1,26.1,80.52,6.08,107.95,banana
91.7,88.2,48.8,28.07,81.24,5.85,108.3,banana
103.1,73.9,51.9,26.85,78.58,5.93,106.36,banana
104.7,84.8,47.8,26.88,79.81,6.32,104.43,banana
110.4,82.7,49.2,27.29,79.72,6.1,111.87,banana
106.8,87.4,48.4,27.15,78.79,6.05,103.21,banana
108.6,78.6,50.1,28.07,76.56,6.35,103.58,banana
94.9,83.2,50.1,27.43,81.65,6.12,106.49,banana
107.3,82.1,53.0,26.27,80.23,6.01,109.07,banana
100.8,75.2,50.3,27.73,82.48,5.79,110.77,banana
116.8,80.9,47.8,27.16,80.02,6.09,102.04,banana
112.8,77.9,47.1,28.42,76.21,5.97,120.59,banana
104.9,77.8,49.9,27.46,80.27,6.11,99.8,banana
113.4,83.5,51.2,26.98,82.14,5.96,106.39,banana
100.3,78.3,51.1,27.13,78.58,5.89,108.49,banana
101.9,82.0,50.0,25.9,77.55,6.06,101.31,banana
110.3,86.5,51.2,29.02,79.86,6.11,102.08,banana
117.3,90.8,50.0,27.82,82.27,5.98,101.72,banana
109.4,82.8,50.3,26.8,77.14,6.04,109.52,banana
103.9,88.5,48.8,26.62,79.89,5.99,108.85,banana
101.1,88.2,53.3,27.47,82.08,5.82,110.38,banana
110.2,86.1,50.0,25.04,78.93,5.9,100.11,banana
105.6,80.8,48.6,26.62,78.81,6.19,101.69,banana
102.4,80.6,50.6,27.88,74.93,6.17,112.18,banana
99.7,78.4,49.2,26.87,80.37,5.68,99.41,banana
112.7,78.6,52.1,27.8,76.98,6.11,104.41,banana
102.7,83.5,50.8,28.09,81.96,6.07,98.12,banana
102.6,94.8,51.2,29.47,82.33,6.04,106.51,banana
104.8,75.3,50.0,28.51,79.0,6.07,109.26,banana
100.5,80.6,48.3,26.81,77.85,5.85,112.1,banana
100.4,83.0,49.2,28.48,82.19,6.14,106.53,banana
103.8,77.5,53.2,26.87,81.11,6.18,102.22,banana
110.2,85.7,52.9,27.11,77.86,5.92,106.04,banana
105.3,80.9,46.8,27.89,83.29,6.08,108.05,banana
107.9,84.2,51.6,27.83,79.48,5.87,103.76,banana
106.6,81.2,50.5,27.87,81.39,6.21,105.39,banana
98.5,81.1,50.1,25.97,82.31,6.02,106.91,banana
111.8,79.9,51.0,27.41,79.69,5.87,113.33,banana
103.1,85.4,46.9,28.48,81.75,6.02,103.87,banana
107.0,92.0,47.1,28.15,78.48,6.0,103.76,banana
102.9,82.5,48.1,28.36,77.01,6.09,103.37,banana
99.1,83.3,47.4,27.53,77.63,6.08,100.38,banana
102.7,83.7,48.7,27.45,77.48,6.11,113.82,banana
119.0,82.9,51.3,26.02,82.5,6.13,102.58,banana
111.2,81.4,49.2,27.9,78.23,6.17,99.72,banana
99.7,78.7,51.3,26.99,77.75,5.9,104.84,banana
99.1,77.7,53.5,26.78,79.46,5.94,102.89,banana
108.1,86.5,49.5,26.47,82.12,5.98,113.65,banana
93.8,83.3,53.2,27.21,79.62,6.05,102.21,banana
103.4,81.1,49.0,28.52,80.77,6.04,109.04,banana
103.7,79.3,49.0,27.5,78.23,5.92,102.42,banana
115.6,70.9,49.7,28.94,80.2,6.13,105.5,banana
101.7,73.2,50.3,26.85,78.67,5.92,113.72,banana
117.0,83.4,49.2,26.52,80.78,6.3,103.76,banana
93.1,85.3,51.6,26.18,80.29,6.08,104.63,banana
101.0,86.7,49.3,26.26,76.58,6.21,108.08,banana
105.4,80.7,49.1,26.6,79.28,5.65,101.32,banana
103.4,85.0,49.9,28.16,82.25,6.18,107.35,banana
105.1,78.4,51.2,28.9,80.57,6.32,97.37,banana
99.2,86.1,50.4,28.59,79.97,5.86,103.93,banana
97.3,77.8,51.6,28.23,80.61,5.71,103.21,banana
98.9,87.4,49.0,26.6,80.05,5.89,112.42,banana
101.3,76.7,46.4,27.47,79.06,5.76,110.95,banana
108.3,82.4,52.3,28.05,78.63,5.83,109.09,banana
107.0,83.2,48.6,28.01,78.74,5.98,112.23,banana
101.7,75.9,48.2,28.33,80.42,5.98,102.45,banana
107.4,79.0,50.5,26.89,78.5,5.89,103.12,banana
104.8,83.5,43.9,26.83,79.35,6.25,99.6,banana
105.8,88.7,47.8,27.83,78.66,5.92,100.98,banana
101.3,93.8,51.4,28.42,80.82,5.73,106.97,banana
110.4,78.9,51.6,28.09,83.09,5.93,99.51,banana
103.2,88.5,47.0,25.78,80.15,5.93,105.04,banana
109.7,80.2,46.9,29.2,78.34,5.82,110.52,banana
103.1,82.2,50.8,28.4,79.44,6.25,94.32,banana
108.8,79.0,52.3,27.62,78.88,6.11,109.47,banana
108.2,78.2,49.2,27.5,79.93,6.12,94.93,banana
106.7,81.3,48.6,26.88,79.64,5.4,101.49,banana
100.6,84.7,48.7,27.32,82.57,6.17,109.51,banana
102.5,84.8,49.6,27.34,80.68,5.9,112.47,banana
104.2,85.1,52.4,28.36,77.65,6.07,109.25,banana
28.0,19.7,28.9,32.33,48.73,5.63,96.44,mango
24.8,20.7,28.5,31.44,47.78,5.65,93.33,mango
29.3,24.2,28.8,32.57,49.5,5.24,92.07,mango
29.8,22.9,30.0,33.18,47.61,5.21,88.46,mango
26.2,22.9,32.6,31.32,49.33,5.75,92.79,mango
19.4,29.3,30.9,31.28,51.03,6.05,92.15,mango
22.9,24.0,30.6,29.92,52.37,5.87,94.32,mango
29.6,22.6,30.5,32.08,48.79,5.77,92.81,mango
21.8,28.3,27.7,29.27,52.19,6.05,89.94,mango
27.0,26.2,29.9,34.47,47.13,6.04,95.42,mango
28.0,22.0,29.5,31.59,51.36,6.0,95.1,mango
21.6,21.9,28.4,30.49,51.69,5.79,99.02,mango
25.6,22.6,30.2,30.15,49.9,6.22,92.78,mango
22.4,20.2,29.2,31.1,51.99,5.19,91.7,mango
25.5,17.9,28.6,30.09,48.67,5.83,92.1,mango
23.1,23.6,32.9,33.19,46.8,5.99,92.05,mango
25.5,21.5,30.2,31.2,49.04,5.38,91.38,mango
25.8,24.0,31.4,30.34,50.47,6.15,95.41,mango
24.8,21.9,30.3,29.47,49.68,6.06,94.1,mango
24.1,23.0,28.6,31.94,49.87,5.64,91.6,mango
24.8,21.4,31.1,30.47,52.65,6.36,90.27,mango
25.2,20.9,29.5,33.67,49.49,5.9,93.85,mango
21.7,20.4,28.0,29.82,45.25,5.98,97.64,mango
25.5,19.0,28.9,30.39,48.3,6.11,94.53,mango
21.1,24.3,32.5,33.54,54.78,5.37,99.56,mango
23.8,21.0,30.5,30.22,50.67,5.2,91.9,mango
29.3,22.4,30.2,31.63,51.95,5.06,93.96,mango
24.1,22.9,31.8,29.41,48.31,4.94,91.13,mango
29.4,22.2,27.8,30.35,47.52,5.28,93.47,mango
21.1,25.3,29.9,31.11,49.54,6.07,94.46,mango
26.1,23.9,29.6,31.72,49.44,5.75,91.81,mango
23.5,20.8,30.8,32.75,51.95,5.23,95.72,mango
23.9,24.0,28.5,31.19,50.52,5.13,94.02,mango
29.5,22.1,32.3,30.75,51.42,4.83,98.55,mango
30.0,21.8,26.7,31.38,47.59,5.94,93.53,mango
21.9,25.3,31.3,32.3,50.01,5.16,94.94,mango
24.1,19.0,32.3,33.8,49.93,6.65,92.73,mango
23.7,20.9,32.7,29.96,51.23,5.52,91.35,mango
28.4,21.5,29.3,32.51,52.66,6.02,90.86,mango
23.3,22.7,30.5,29.68,51.21,5.79,88.21,mango
21.9,21.2,29.9,33.52,50.4,5.4,93.05,mango
23.8,23.3,31.0,32.61,49.96,6.43,94.77,mango
22.6,28.0,30.5,29.89,52.75,6.62,92.42,mango
23.3,22.1,31.2,32.7,50.95,5.79,96.25,mango
24.0,25.1,29.5,31.57,49.81,5.73,91.56,mango
29.5,20.7,28.8,33.83,51.63,4.76,91.09,mango
19.0,20.1,24.8,30.82,48.1,5.77,88.44,mango
25.3,21.5,32.5,32.88,51.31,5.61,97.46,mango
19.8,19.0,29.9,34.01,49.66,5.67,88.9,mango
28.2,24.9,31.3,30.16,48.82,5.21,92.71,mango
21.4,19.6,29.3,30.35,49.1,5.94,92.7,mango
24.0,23.0,28.3,31.14,50.25,5.12,94.99,mango
22.1,22.7,31.9,32.23,50.06,5.6,94.87,mango
27.2,21.0,28.7,28.24,50.26,5.72,95.34,mango
26.2,25.8,28.8,32.52,49.12,6.07,88.85,mango
25.8,17.5,29.6,31.59,49.13,5.31,94.62,mango
24.7,21.3,30.1,34.52,51.92,6.23,93.59,mango
25.6,16.5,28.9,30.36,46.88,5.27,87.55,mango
24.9,24.5,31.8,31.55,48.39,4.94,88.11,mango
20.8,20.3,29.7,29.65,50.56,5.65,92.53,mango
28.8,19.5,30.7,30.98,49.44,6.12,94.7,mango
21.8,22.0,30.5,30.64,50.98,5.87,97.08,mango
19.9,22.2,28.5,31.81,47.3,5.89,90.92,mango
22.6,18.9,29.2,32.45,49.96,6.01,96.66,mango
25.9,21.1,30.8,30.27,49.16,5.12,94.82,mango
23.7,23.0,28.3,31.58,48.73,5.69,94.69,mango
27.6,22.4,27.1,34.99,52.91,6.05,90.62,mango
24.6,21.1,32.1,31.35,48.69,5.55,95.3,mango
30.3,26.3,31.3,30.66,44.6,5.87,92.5,mango
25.5,22.6,27.8,31.74,51.05,6.03,94.87,mango
27.0,21.5,29.9,31.12,50.18,6.17,94.11,mango
31.9,28.0,30.1,25.88,52.06,5.52,90.5,mango
23.7,21.4,31.0,28.92,48.2,5.89,94.06,mango
27.1,20.5,28.4,30.32,50.4,6.37,87.38,mango
24.3,19.2,27.2,32.29,50.91,5.94,94.8,mango
23.4,21.4,33.6,30.67,51.23,5.75,87.88,mango
18.2,21.1,31.8,32.05,51.52,5.34,96.54,mango
21.8,23.0,30.0,30.77,52.23,5.46,89.13,mango
25.1,21.5,35.6,31.9,49.32,5.31,87.8,mango
21.6,22.8,32.4,32.5,50.38,5.62,93.17,mango
23.3,26.8,29.7,30.88,46.31,5.67,94.59,mango
21.4,20.6,31.3,29.03,51.76,5.53,91.53,mango
21.3,23.4,34.1,32.04,48.56,6.22,91.71,mango
29.6,24.5,25.1,29.66,51.57,5.81,89.94,mango
22.9,17.7,29.9,33.95,51.34,6.66,94.71,mango
28.4,27.4,30.6,30.75,51.72,6.36,91.3,mango
22.6,22.8,31.4,32.06,47.63,6.55,90.9,mango
24.1,20.2,34.5,31.32,48.58,6.11,94.42,mango
24.4,24.6,28.6,30.34,46.65,5.2,97.02,mango
30.5,22.7,32.8,30.79,49.59,5.77,92.19,mango
24.3,25.4,30.3,31.95,51.72,5.91,90.07,mango
20.5,22.9,29.7,31.12,49.97,6.83,89.17,mango
18.4,23.3,29.4,31.42,50.97,6.29,88.73,mango
23.1,23.6,31.3,33.92,51.59,5.73,90.27,mango
23.1,21.0,31.1,31.34,47.79,5.57,94.69,mango
26.2,23.9,30.6,33.17,50.39,5.59,90.21,mango
25.8,16.4,29.7,30.73,47.73,5.36,94.52,mango
25.8,22.8,30.5,31.12,52.07,5.8,88.85,mango
30.4,23.4,29.0,29.33,50.66,5.7,96.44,mango
23.8,20.4,31.5,32.23,50.28,6.03,92.41,mango
25.8,137.4,201.0,24.04,87.25,5.61,73.42,grapes
19.3,129.9,199.9,24.17,86.68,5.82,70.43,grapes
23.1,133.7,199.9,25.53,84.08,5.91,70.48,grapes
28.1,130.0,198.6,28.48,84.95,6.14,68.49,grapes
19.1,130.3,198.7,24.55,83.94,6.12,69.52,grapes
25.5,133.2,200.3,24.86,85.85,5.87,72.33,grapes
24.2,127.0,200.3,20.18,86.11,6.37,68.69,grapes
26.1,125.2,200.8,19.98,83.96,5.82,71.22,grapes
28.4,132.6,198.6,34.01,83.75,5.64,70.76,grapes
21.3,136.6,199.4,28.42,87.34,5.8,69.06,grapes
24.7,138.9,198.9,21.63,85.8,5.9,70.25,grapes
19.8,141.7,197.8,23.18,84.95,6.32,67.79,grapes
31.6,135.7,200.7,19.42,85.95,5.88,72.11,grapes
21.8,132.0,199.1,19.4,86.24,6.09,72.02,grapes
19.1,136.9,204.2,22.44,88.16,5.96,67.71,grapes
24.0,136.9,198.6,21.6,85.99,6.0,70.97,grapes
25.8,134.5,199.3,26.31,83.45,6.21,68.94,grapes
28.8,131.5,200.3,22.2,83.31,5.71,68.24,grapes
23.9,133.4,201.7,22.47,83.53,5.76,70.8,grapes
29.6,137.8,201.2,28.62,87.83,6.06,71.08,grapes
23.9,126.8,198.9,24.95,85.1,6.32,70.14,grapes
28.9,130.7,199.5,17.47,83.76,6.09,70.01,grapes
28.1,133.3,199.4,37.17,84.84,6.19,69.33,grapes
27.4,136.4,200.3,11.66,85.03,6.21,70.88,grapes
26.5,125.3,198.8,27.33,85.68,6.2,69.76,grapes
26.4,132.6,198.4,12.22,85.72,6.03,68.97,grapes
19.6,135.1,199.6,28.16,88.11,5.64,68.83,grapes
24.3,138.6,197.3,35.97,85.23,5.98,69.67,grapes
23.5,136.9,198.2,26.96,84.36,5.87,74.31,grapes
26.4,135.1,201.9,16.95,87.92,5.58,68.72,grapes
23.5,134.9,200.4,24.05,84.98,5.84,67.5,grapes
27.4,135.4,202.6,20.52,86.15,5.95,71.98,grapes
28.4,133.4,199.4,30.45,86.08,5.89,67.79,grapes
24.0,138.8,201.9,18.7,83.05,6.21,68.11,grapes
26.7,129.9,202.7,20.63,86.91,6.03,70.42,grapes
18.4,123.3,199.6,26.4,83.12,5.82,70.94,grapes
26.9,131.9,201.3,18.35,84.41,6.27,70.11,grapes
25.4,142.1,197.7,29.51,87.77,5.95,71.43,grapes
21.7,129.6,200.6,29.53,86.87,6.26,69.89,grapes
29.0,131.1,201.5,26.18,85.74,6.07,67.33,grapes
21.3,132.9,197.2,29.71,86.45,6.05,68.13,grapes
29.6,141.0,200.2,27.89,85.34,6.09,69.8,grapes
24.9,136.3,203.9,17.07,84.83,5.8,72.65,grapes
23.0,126.5,201.1,34.88,86.11,6.03,70.68,grapes
29.7,128.9,199.8,22.43,83.05,5.95,71.85,grapes
26.9,135.2,200.2,27.97,83.67,5.95,70.32,grapes
25.9,133.8,199.8,22.86,90.26,6.15,70.69,grapes
24.2,130.6,199.8,26.66,81.87,5.74,68.94,grapes
25.7,131.5,202.5,16.6,83.75,6.25,70.22,grapes
27.9,141.0,198.8,24.44,84.55,5.67,69.48,grapes
27.9,134.8,201.0,22.87,83.91,6.21,69.17,grapes
26.0,133.2,202.4,30.5,82.84,5.8,70.96,grapes
24.8,130.6,201.7,26.06,85.09,6.13,69.37,grapes
30.2,129.2,201.1,33.13,82.7,5.94,71.9,grapes
28.9,131.8,198.8,30.42,86.97,5.81,67.99,grapes
25.8,135.1,199.5,28.85,83.82,5.65,69.29,grapes
25.2,131.4,198.1,14.71,84.14,6.15,72.09,grapes
29.0,129.1,198.1,27.81,86.06,6.07,66.64,grapes
22.1,132.4,200.8,29.35,85.24,6.06,70.14,grapes
27.3,133.8,200.1,23.48,85.14,6.08,70.45,grapes
26.3,138.1,200.4,21.32,86.47,5.77,68.2,grapes
26.1,134.7,197.9,22.83,83.99,5.92,71.57,grapes
27.4,132.4,199.1,17.35,87.37,6.1,68.82,grapes
27.4,132.2,199.5,27.47,83.76,5.94,70.2,grapes
23.3,135.3,203.1,20.73,82.22,5.67,69.75,grapes
22.8,133.4,200.2,15.92,81.98,6.05,70.23,grapes
23.6,125.6,200.8,32.21,85.46,5.86,70.07,grapes
20.4,136.9,200.1,14.98,84.5,6.08,69.44,grapes
24.1,127.4,200.9,21.33,81.41,5.94,71.64,grapes
23.7,139.7,200.7,26.92,84.79,5.99,69.56,grapes
24.0,134.7,198.4,18.9,83.13,6.34,70.88,grapes
26.0,128.1,201.0,24.34,85.36,5.84,70.27,grapes
23.6,129.3,201.2,16.29,85.94,6.11,68.53,grapes
22.3,131.6,200.5,24.13,85.72,6.29,69.15,grapes
19.3,135.9,202.8,27.23,83.19,5.98,68.14,grapes
27.1,126.9,199.5,19.31,85.21,5.94,70.29,grapes
25.1,128.4,201.0,24.72,83.35,6.37,70.79,grapes
